slm,match,scope,precision,recall,f1,tp,fp,fn,n_pred,n_truth,runtime_sec
model_A,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,overall,0.14285714285714285,0.9,0.24657534246575338,9,54,1,63,10,0.02
model_A,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,goal,0.07692307692307693,0.5,0.13333333333333336,2,24,2,,,
model_A,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,penalty,0.0625,1.0,0.11764705882352941,1,15,0,,,
model_A,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,card,0.3125,1.0,0.47619047619047616,5,11,0,,,
model_A,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,save,0.0,0.0,0.0,0,5,0,,,
model_A,2018WC_Portugal_vs_Spain,overall,0.17777777777777778,0.8888888888888888,0.2962962962962963,8,37,1,45,9,0.02
model_A,2018WC_Portugal_vs_Spain,goal,0.11538461538461539,0.5,0.1875,3,23,3,,,
model_A,2018WC_Portugal_vs_Spain,penalty,0.08333333333333333,1.0,0.15384615384615385,1,11,0,,,
model_A,2018WC_Portugal_vs_Spain,card,0.0,0.0,0.0,0,3,1,,,
model_A,2018WC_Portugal_vs_Spain,save,0.25,1.0,0.4,1,3,0,,,
model_A,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,overall,0.0,0.0,0.0,0,0,13,0,13,0.02
model_A,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,goal,0.0,0.0,0.0,0,0,8,,,
model_A,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,penalty,0.0,0.0,0.0,0,0,2,,,
model_A,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,card,0.0,0.0,0.0,0,0,3,,,
